nivel,regiao,uf,uf_nome,co_ibge6,municipio,populacao_2025,registros,estabelecimentos_cnes,municipios_com_registro,leitos_existentes,leitos_sus,uti_total_exist,uti_total_sus,pct_leitos_sus,pct_uti_sus,leitos_existentes_por_10k_hab,leitos_sus_por_10k_hab,uti_existente_por_100k_hab,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_de_oportunidade,score_heuristico_oportunidade
municipio,SUDESTE,SP,São Paulo,350920,Cajamar,98365,1,1,1,51,41,10,0,80.3921568627451,0.0,5.184771005947238,4.16814924007523,10.166217658720074,0.0,121.93611580567851,14.758826375677296,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,352850,Mairiporã,97835,2,2,1,41,41,0,0,100.0,0.0,4.190729289109214,4.190729289109214,0.0,0.0,121.05820047627263,14.679304411776426,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,350390,Arujá,90273,2,2,1,91,31,20,0,34.065934065934066,0.0,10.080533492849467,3.4340278931684995,22.155018665603226,0.0,118.53217081407023,13.544691032496484,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,350650,Birigui,123340,2,2,1,164,87,10,10,53.04878048780488,100.0,13.296578563320903,7.053672774444624,8.107669855683477,8.107669855683477,117.30580514890855,8.506111372704089,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUL,SC,Santa Catarina,421130,Navegantes,96046,1,1,1,47,42,0,0,89.36170212765957,0.0,4.89348853674281,4.372904649855278,0.0,0.0,117.09482212852335,14.410880273250665,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,RJ,Rio de Janeiro,330555,Seropédica,84794,1,1,1,29,29,0,0,100.0,0.0,3.4200533056584193,3.4200533056584193,0.0,0.0,111.45651404083469,12.722613975491086,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,354520,Salto,141111,1,1,1,131,126,10,10,96.18320610687023,100.0,9.283471876749509,8.929140889087314,7.0866197532439,7.0866197532439,107.74247178828956,11.172497826444355,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,CENTRO-OESTE,GO,Goiás,521975,Santo Antônio do Descoberto,75221,1,1,1,21,21,0,0,100.0,0.0,2.7917735738689995,2.7917735738689995,0.0,0.0,103.59937545894317,11.286267257711808,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,MG,Minas Gerais,312410,Esmeraldas,93103,1,1,1,55,53,0,0,96.36363636363636,0.0,5.907435850617058,5.692620001503711,0.0,0.0,101.21990738429409,13.969308311438859,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,RJ,Rio de Janeiro,330270,Maricá,212470,2,2,1,270,251,25,10,92.96296296296296,40.0,12.707676377841578,11.813432484586059,11.766367016519979,4.706546806607991,100.94466045069402,21.879305037769075,uti_sus_por_100k_abaixo_de_50pct_media_nacional,3
municipio,NORTE,PA,Pará,150470,Moju,91760,1,1,1,52,52,0,0,100.0,0.0,5.6669572798605055,5.6669572798605055,0.0,0.0,99.99530306845995,13.767802655742884,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,353760,Peruíbe,70629,1,1,1,18,18,0,0,100.0,0.0,2.548528224950091,2.548528224950091,0.0,0.0,98.99298452944917,10.597276959159375,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,MG,Minas Gerais,311940,Coronel Fabriciano,108708,2,2,1,167,82,29,19,49.101796407185624,65.51724137931035,15.362254847849284,7.54314309894396,26.676969496265222,17.478014497553076,98.0687162812352,0.0,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
municipio,SUDESTE,SP,São Paulo,351510,Embu-Guaçu,68913,1,1,1,17,17,0,0,100.0,0.0,2.4668785279990715,2.4668785279990715,0.0,0.0,97.15052659499541,10.339805845850146,leitos_sus_por_10k_abaixo_de_50pct_media_nacional,3
