co_ibge6,municipio,uf,regiao,populacao_2025,ubs,ubs_por_10k_hab,pct_populacao_vinculada_aps,media_indicadores_previne,leitos_sus,leitos_sus_por_10k_hab,uti_total_sus,uti_sus_por_100k_hab,gap_estimado_leitos_sus_para_media_nacional,gap_estimado_uti_sus_para_media_nacional,sinais_aps,sinais_hospitalares,sinais_integrados,oportunidades_geradas,score_integrado
140005,Alto Alegre,RR,NORTE,23589,8,3.3914112510068253,37.37689270684194,33.833333333333336,28,11.869939378523888,0,0.0,11.073857934632754,3.539327559353955,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
330140,Conceição de Macabu,RJ,SUDESTE,21770,3,1.3780431786862655,49.09734025449033,27.666666666666668,21,9.646302250803858,0,0.0,15.060786266351055,3.26640217758852,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
312400,Ervália,MG,SUDESTE,21091,10,4.741358873453131,46.43215120996611,39.833333333333336,20,9.482717746906262,0,0.0,14.936060778300881,3.164524038930614,vinculo_aps_abaixo_50pct;media_indicadores_previne_abaixo_40,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixo_vinculo_e_baixo_desempenho_previne,gestao_de_carteira_e_qualidade_do_registro;regulacao_integrada_aps_e_retaguarda,16
411915,Pinhais,PR,SUL,131255,14,1.0666260332939697,35.55362464652932,54.833333333333336,270,20.57064492781227,0,0.0,0.0,19.693689380770838,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,municipio_100k_mais_sem_uti_sus_no_arquivo,baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps,15
412625,Sarandi,PR,SUL,128106,13,1.014784631477058,22.048733950789046,47.333333333333336,159,12.411596646527096,40,31.2241425069864,53.20041733749048,0.0,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps;regulacao_integrada_aps_e_retaguarda,15
130406,Tabatinga,AM,NORTE,73348,8,1.090690952718547,39.91948314264765,44.333333333333336,61,8.316518514478922,0,0.0,60.49685581370314,11.005239638114963,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps;regulacao_integrada_aps_e_retaguarda,15
350635,Bertioga,SP,SUDESTE,67436,7,1.0380212349486921,41.14066962750288,49.0,74,10.973367340886174,0,0.0,37.70395878078317,10.11819463701697,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps;regulacao_integrada_aps_e_retaguarda,15
353340,Nova Odessa,SP,SUDESTE,64596,7,1.083658430862592,24.933051005791867,52.333333333333336,72,11.14620100315809,0,0.0,34.999657770381845,9.69207694366137,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps;regulacao_integrada_aps_e_retaguarda,15
130380,São Gabriel da Cachoeira,AM,NORTE,57396,6,1.0453690152623876,30.601354465836966,47.833333333333336,69,12.021743675517458,0,0.0,26.07326084260382,8.611778566140131,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps;regulacao_integrada_aps_e_retaguarda,15
353860,Piracaia,SP,SUDESTE,26795,3,1.1196118678857996,35.5290688985204,56.166666666666664,28,10.449710766934128,0,0.0,16.384417455529473,4.02036042023355,ubs_por_10k_abaixo_de_50pct_media_nacional;vinculo_aps_abaixo_50pct,leitos_sus_por_10k_entre_50_75pct_media_nacional,aps_fragil_e_leitos_sus_baixos;baixa_densidade_ubs_e_baixo_vinculo,gestao_territorial_e_busca_ativa_aps;regulacao_integrada_aps_e_retaguarda,15
